# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
yong 	用	c=230 d=0.300343 t=116978
yong bu liao 	用不了	c=1 d=5.29743e-173 t=116978
yong bu wan 	用不完	c=1 d=0.000335463 t=116978
yong chu 	用處	c=2 d=2.11844e-08 t=116978
yong ci 	用詞	c=2 d=1.5575e-36 t=116978
yong dao 	用到	c=5 d=1.93941e-28 t=116978
yong de 	用的	c=5 d=2.9936e-35 t=116978
yong fa 	用法	c=1 d=6.4277e-66 t=116978
yong gan 	勇敢	c=1 d=1.42739e-10 t=116978
yong guo 	用過	c=3 d=5.96722e-35 t=116978
yong hu 	用戶	c=24 d=0.0100247 t=116978
yong hu ming 	用戶名	c=2 d=3.07635e-44 t=116978
yong hu ti yan 	用戶體驗	c=1 d=5.3488e-22 t=116978
yong ji 	擁擠	c=1 d=1.72492e-149 t=116978
yong jiu 	永久	c=1 d=3.00909e-78 t=116978
yong lai 	用來	c=26 d=0.543351 t=116978
yong le 	永樂	c=2 d=1.21523e-21 t=116978
yong long 	永隆	c=6 d=1.1723e-49 t=116978
yong ni 	用你	c=2 d=2.01748e-51 t=116978
yong qi lai 	用起來	c=2 d=2.51477e-55 t=116978
yong qian 	用錢	c=1 d=2.34835e-73 t=116978
yong shou ji 	用手機	c=1 d=7.27021e-162 t=116978
yong tu 	用途	c=2 d=5.23664e-08 t=116978
yong wo 	用我	c=1 d=7.24551e-122 t=116978
yong xian 	湧現	c=1 d=2.13684e-139 t=116978
yong yi 	用以	c=4 d=3.07436e-07 t=116978
yong yong 	用用	c=1 d=2.6623e-108 t=116978
yong you 	擁有	c=3 d=1.38945e-67 t=116978
yong yu 	用於	c=65 d=0.73462 t=116978
yong yuan 	永遠	c=4 d=1.05252e-14 t=116978
yong yuan shi 	永遠是	c=1 d=4.37033e-145 t=116978
yong zai 	用在	c=1 d=1.51592e-12 t=116978
yong zhe ge 	用這個	c=1 d=0.00222055 t=116978
yong zuo 	用作	c=7 d=4.50174e-07 t=116978
you 	優	c=8 d=0.508591 t=116978
you 	又	c=102 d=1.91393 t=116988
you 	友	c=10 d=0.000786687 t=116978
you 	右	c=6 d=3.7498e-20 t=116978
you 	有	c=598 d=3.2582 t=116997
you 	油	c=1 d=9.85447e-05 t=116978
you 	猶	c=1 d=3.05645e-144 t=116978
you 	由	c=18 d=0.324665 t=116978
you bei wu huan 	有備無患	c=1 d=7.11868e-32 t=116978
you bian 	右邊	c=5 d=4.65773e-29 t=116978
you bian 	郵編	c=5 d=2.54553e-79 t=116978
you bian hua 	又變化	c=1 d=3.12773e-33 t=116978
you bu shi 	又不是	c=2 d=1.14232e-36 t=116978
you bu yao 	有不要	c=1 d=7.06736e-182 t=116978
you ce 	右側	c=14 d=4.93778e-12 t=116978
you ci 	由此	c=1 d=1.9633e-25 t=116978
you dai 	有待	c=3 d=1.0762e-11 t=116978
you dao 	有道	c=1 d=8.39974e-67 t=116978
you dao li 	有道理	c=1 d=1.99753e-140 t=116978
you de 	有的	c=6 d=2.14122e-13 t=116978
you de ren 	有的人	c=1 d=0.00278085 t=116978
you dei 	又得	c=2 d=3.57908e-60 t=116978
you deng 	油燈	c=1 d=3.39343e-51 t=116978
you di fang shi 	有的放矢	c=2 d=6.93421e-16 t=116978
you di zhi 	有地址	c=1 d=3.81635e-168 t=116978
you dian 	優點	c=5 d=5.23647e-37 t=116978
you dian 	有點	c=105 d=0.0247418 t=116978
you dian cha 	有點差	c=1 d=3.18593e-44 t=116978
you dian da 	有點大	c=2 d=4.27474e-32 t=116978
you dian duo 	有點多	c=1 d=3.07887e-83 t=116978
you dian er 	有點兒	c=2 d=1.64867e-29 t=116978
you dian shi 	有點事	c=1 d=1.60524e-156 t=116978
you dian xiang 	有點想	c=1 d=5.72066e-48 t=116978
you duo shao 	有多少	c=1 d=1.01632e-14 t=116978
you ei you 	有誒有	c=1 d=4.56216e-121 t=116978
you er 	幼兒	c=1 d=3.51789e-63 t=116978
you er yuan 	幼兒園	c=1 d=9.55162e-167 t=116978
you fei 	郵費	c=3 d=0.00181014 t=116978
you gan 	油柑	c=1 d=7.59935e-36 t=116978
you ge 	有個	c=12 d=6.22732e-17 t=116978
you guan 	有關	c=3 d=5.26272e-37 t=116978
you guan xi 	有關係	c=1 d=2.68266e-80 t=116978
you guo 	有過	c=1 d=7.63906e-156 t=116978
you hao 	友好	c=2 d=1.32737e-67 t=116978
you hua 	優化	c=35 d=2.2106e-09 t=116978
you hua guo cheng 	優化過程	c=1 d=7.91622e-46 t=116978
you hua lv 	優化率	c=1 d=3.93455e-27 t=116978
you hua qi 	優化器	c=1 d=2.12097e-22 t=116978
you hui 	優惠	c=4 d=2.25751e-50 t=116978
you hui 	有會	c=1 d=1.16014e-71 t=116978
you hui fu 	有回覆	c=1 d=5.02483e-81 t=116978
you huo 	誘惑	c=1 d=0.00653881 t=116978
you ji 	有機	c=3 d=1.46246e-17 t=116978
you ji 	郵寄	c=9 d=0.00158301 t=116978
you ji hui 	有機會	c=2 d=9.16862e-68 t=116978
you jian 	右鍵	c=4 d=5.75649e-46 t=116978
you jian 	有件	c=1 d=3.51684e-177 t=116978
you jian 	郵件	c=38 d=0.00221525 t=116978
you jian du 	有監督	c=37 d=0.000192782 t=116978
you ke 	有課	c=1 d=1.56188e-128 t=116978
you ke neng 	有可能	c=18 d=5.64246e-06 t=116978
you ke neng ne ge 	有可能呢個	c=1 d=8.66938e-27 t=116978
you ke neng shi 	有可能是	c=1 d=1.25143e-21 t=116978
you kong 	有空	c=33 d=0.00802655 t=116978
you ku 	優酷	c=12 d=0.00021974 t=116978
you kuai 	又快	c=1 d=1.55732e-123 t=116978
you le 	有了	c=4 d=1.30925e-23 t=116978
you li yu 	有利於	c=1 d=1.61965e-26 t=116978
you lian 	优联	c=1 d=4.78465e-93 t=116978
you lie 	優劣	c=1 d=2.55071e-163 t=116978
you ma 	有碼	c=1 d=1.62198e-131 t=116978
you mei 	優美	c=1 d=1.15114e-97 t=116978
you mei you 	有沒有	c=64 d=0.00527514 t=116978
you mei you kong 	有沒有空	c=1 d=1.51196e-40 t=116978
you mei you shuo 	有沒有說	c=1 d=5.27258e-59 t=116978
you mu you 	有木有	c=1 d=2.41747e-32 t=116978
you mu you kong 	有木有空	c=1 d=2.5474e-89 t=116978
you na ge 	有那個	c=1 d=1.2616e-28 t=116978
you pian 	有篇	c=1 d=8.14482e-28 t=116978
you pin 	优品	c=2 d=3.73226e-133 t=116978
you qian 	有錢	c=5 d=2.60682e-55 t=116978
you qian ren 	有錢人	c=1 d=1.1009e-72 t=116978
you qu 	又去	c=1 d=3.23002e-88 t=116978
you qu 	有趣	c=2 d=0.0547488 t=116978
you que dian 	優缺點	c=2 d=1.98958e-05 t=116978
you ren 	有人	c=8 d=0.000287295 t=116978
you ren shuo 	有人說	c=2 d=1.66343e-75 t=116978
you sha 	有啥	c=3 d=2.0772e-12 t=116978
you shang 	友商	c=1 d=4.54544e-166 t=116978
you shang 	右商	c=0 d=4.50022e-167 t=116978
you shang guan xi 	右商關係	c=1 d=4.52277e-166 t=116978
you shang jiao 	右上角	c=3 d=1.03915e-40 t=116978
you shen me 	有什麼	c=5 d=7.32425e-14 t=116978
you shi 	優勢	c=9 d=6.51506e-19 t=116978
you shi 	又是	c=7 d=4.37997e-24 t=116978
you shi 	有事	c=5 d=1.6244e-31 t=116978
you shi 	有時	c=2 d=1.90553e-48 t=116978
you shi er 	有事兒	c=1 d=6.25433e-156 t=116978
you shi hou 	有時候	c=17 d=2.8175e-10 t=116978
you shi jian 	有時間	c=1 d=9.10214e-100 t=116978
you suo 	有所	c=4 d=1.34805e-17 t=116978
you tiao jian 	有條件	c=11 d=1.57657e-91 t=116978
you tu 	優圖	c=39 d=0.741137 t=116978
you tu 	幼兔	c=1 d=0.000330468 t=116978
you wen 	有問	c=1 d=1.64856e-87 t=116978
you wen ti 	有問題	c=5 d=9.55967e-30 t=116978
you wu 	有無	c=2 d=1.27958e-18 t=116978
you wu 	有誤	c=3 d=1.28599e-18 t=116978
you xi 	遊戲	c=3 d=0.00026189 t=116978
you xi ji 	遊戲機	c=1 d=1.83988e-114 t=116978
you xi ren 	遊戲人	c=1 d=0.00263203 t=116978
you xi yi zhan 	遊戲驛站	c=1 d=1.0536e-26 t=116978
you xia 	右下	c=1 d=2.95123e-173 t=116978
you xia jiao 	右下角	c=1 d=3.07855e-23 t=116978
you xian 	優先	c=1 d=2.60842e-44 t=116978
you xian 	有限	c=16 d=6.80798e-07 t=116978
you xian gong si 	有限公司	c=4 d=2.0152e-32 t=116978
you xiang 	郵箱	c=19 d=0.000159058 t=116978
you xiang li 	郵箱裏	c=1 d=4.85216e-52 t=116978
you xiao 	有效	c=27 d=7.93022e-08 t=116978
you xiao de 	有效地	c=1 d=5.6943e-170 t=116978
you xiao guo 	有效果	c=1 d=8.81689e-49 t=116978
you xiao xing 	有效性	c=22 d=9.88839e-16 t=116978
you xie 	有些	c=9 d=0.00272578 t=116978
you xie ren 	有些人	c=1 d=1.23075e-119 t=116978
you xing 	有幸	c=1 d=1.25212e-145 t=116978
you xiu 	優秀	c=9 d=5.62495e-26 t=116978
you xu 	有序	c=3 d=3.39683e-157 t=116978
you xu yao 	有需要	c=5 d=0.00379148 t=116978
you xuan 	優選	c=1 d=2.53807e-134 t=116978
you ya 	優雅	c=2 d=5.56596e-49 t=116978
you yang 	有氧	c=1 d=3.48466e-69 t=116978
you yao 	又要	c=4 d=0.00149594 t=116978
you yao qu 	又要去	c=1 d=2.75075e-22 t=116978
you yi 	友誼	c=2 d=2.00855e-28 t=116978
you yi 	有益	c=1 d=7.51637e-142 t=116978
you yi dian 	有一點	c=2 d=1.04995e-44 t=116978
you yi ge 	有一個	c=12 d=5.03032e-27 t=116978
you yi ke 	有一顆	c=0 d=0.000273944 t=116978
you yi shi 	有意識	c=1 d=2.14046e-12 t=116978
you yi si 	有意思	c=2 d=5.07896e-60 t=116978
you yi xie 	有一些	c=7 d=1.43406e-06 t=116978
you yong 	有用	c=3 d=1.56709e-79 t=116978
you you 	又有	c=1 d=1.59213e-89 t=116978
you yu 	優於	c=4 d=3.53022e-16 t=116978
you yu 	囿於	c=1 d=3.87334e-19 t=116978
you yu 	憂鬱	c=1 d=1.44744e-27 t=116978
you yu 	猶豫	c=5 d=5.6028e-09 t=116978
you yu 	由於	c=67 d=4.43936e-06 t=116978
you yu 	魷魚	c=0 d=1.34427e-11 t=116978
you yu de 	憂鬱的	c=1 d=8.25226e-182 t=116978
you yu you xi 	魷魚遊戲	c=1 d=1.35101e-10 t=116978
you yuan 	有緣	c=1 d=2.08515e-145 t=116978
you yue 	優越	c=1 d=2.14353e-117 t=116978
you zhe 	有着	c=1 d=2.97399e-87 t=116978
you zheng bian ma 	郵政編碼	c=1 d=4.22275e-182 t=116978
you zhi 	優質	c=1 d=5.42392e-39 t=116978
you zhu yu 	有助於	c=2 d=2.23351e-42 t=116978
yu 	宇	c=2 d=1.5117e-38 t=116978
yu 	於	c=46 d=2.55565e-09 t=116978
yu 	欲	c=1 d=1.00847e-11 t=116978
yu 	浴	c=1 d=6.04e-40 t=116978
yu 	與	c=130 d=0.100259 t=116978
yu 	語	c=2 d=0.0023935 t=116978
yu 	雨	c=11 d=0.0161698 t=116978
yu 	預	c=20 d=7.60104e-16 t=116978
yu 	餘	c=1 d=1.19405e-57 t=116978
yu 	魚	c=1 d=0.000728153 t=116978
yu bei 	預備	c=3 d=5.76138e-109 t=116978
yu ce 	預測	c=35 d=0.709054 t=116978
yu ce ju zhen 	預測矩陣	c=1 d=0.000973123 t=116978
yu ce wei 	預測爲	c=1 d=1.77069e-163 t=116978
yu ce zhi 	預測指	c=1 d=7.84972e-35 t=116978
yu chu li 	預處理	c=2 d=2.89464e-63 t=116978
yu dao 	遇到	c=11 d=1.30295e-25 t=116978
yu ding 	預訂	c=2 d=2.55017e-43 t=116978
yu e 	餘額	c=1 d=1.71829e-45 t=116978
yu fa 	語法	c=5 d=1.68576e-17 t=116978
yu fou 	與否	c=1 d=2.08797e-14 t=116978
yu gao pian 	預告片	c=1 d=3.14568e-159 t=116978
yu guo 	雨果	c=1 d=2.2931e-87 t=116978
yu hui 	迂迴	c=2 d=4.42625e-30 t=116978
yu ji 	預計	c=2 d=1.44739e-56 t=116978
yu jia 	愈加	c=3 d=6.13218e-87 t=116978
yu jing 	語境	c=1 d=6.5806e-166 t=116978
yu jing 	預警	c=2 d=3.09766e-37 t=116978
yu le 	娛樂	c=5 d=1.56561e-10 t=116978
yu le quan 	娛樂圈	c=2 d=7.05288e-11 t=116978
yu liang 	餘量	c=1 d=7.67679e-67 t=116978
yu lu 	語錄	c=0 d=1.3711e-67 t=116978
yu men 	鬱悶	c=6 d=0.000493001 t=116978
yu mi 	玉米	c=1 d=2.7402e-65 t=116978
yu ming 	域名	c=6 d=2.58915e-45 t=116978
yu piao 	餘票	c=1 d=1.81336e-149 t=116978
yu qi 	語氣	c=1 d=1.60458e-63 t=116978
yu qi 	逾期	c=1 d=2.10595e-56 t=116978
yu qi 	預期	c=9 d=5.21479e-47 t=116978
yu ren jie 	愚人節	c=1 d=2.58345e-166 t=116978
yu rong fu 	羽絨服	c=1 d=5.73742e-53 t=116978
yu she 	預設	c=1 d=2.04691e-45 t=116978
yu shi 	遇事	c=0 d=8.06248e-174 t=116978
yu shi bu jue 	遇事不決	c=1 d=8.10289e-173 t=116978
yu su 	語速	c=1 d=1.88716e-89 t=116978
yu suan 	預算	c=2 d=2.68343e-114 t=116978
yu ta 	與他	c=1 d=2.23961e-170 t=116978
yu wo 	與我	c=1 d=3.5075e-87 t=116978
yu xian 	預先	c=1 d=4.19723e-52 t=116978
yu xian 	餘弦	c=4 d=3.14512e-11 t=116978
yu xian han shu 	餘弦函數	c=1 d=3.16088e-10 t=116978
yu xian xiang si du 	餘弦相似度	c=1 d=2.45829e-170 t=116978
yu xuan 	預選	c=1 d=1.0684e-43 t=116978
yu xun lian 	與訓練	c=20 d=7.77209e-05 t=116978
yu xun lian 	預訓練	c=11 d=1.02822e-25 t=116978
yu xun lian te zheng 	與訓練特徵	c=1 d=1.27061e-141 t=116978
yu yan 	語言	c=19 d=0.0597501 t=116978
yu yan biao da 	語言表達	c=1 d=1.04329e-28 t=116978
yu yan lei jie mu 	語言類節目	c=1 d=0.600496 t=116978
yu yi 	予以	c=0 d=1.06402e-172 t=116978
yu yi 	語義	c=165 d=0.0739031 t=116978
yu yi biao qian 	語義標籤	c=1 d=3.51538e-84 t=116978
yu yi chong jian 	語義重建	c=2 d=1.66265e-178 t=116978
yu yi hong gou 	語義鴻溝	c=1 d=4.67432e-142 t=116978
yu yi kong jian 	語義空間	c=2 d=1.07767e-178 t=116978
yu yi shang 	語義上	c=3 d=1.75119e-19 t=116978
yu yi xiang si 	語義相似	c=1 d=5.41527e-80 t=116978
yu yi xiang si xin xi 	語義相似信息	c=1 d=5.44241e-79 t=116978
yu yi xin xi 	語義信息	c=18 d=1.81114e-17 t=116978
yu yi xin xi chong jian 	語義信息重建	c=1 d=3.02881e-96 t=116978
yu yi xin xi de 	語義信息的	c=1 d=2.65842e-179 t=116978
yu yi xiu zheng 	語義修正	c=9 d=5.79693e-08 t=116978
yu yi xiu zheng xiang si ju zhen 	語義修正相似矩陣	c=1 d=4.22172e-91 t=116978
yu yin 	語音	c=5 d=1.66184e-05 t=116978
yu yue 	預約	c=15 d=8.09731e-18 t=116978
yu zhi 	閾值	c=32 d=4.25718e-13 t=116978
yu zhi de 	閾值的	c=1 d=5.61043e-25 t=116978
yuan 	元	c=12 d=0.311923 t=116978
yuan 	原	c=9 d=0.00032882 t=116978
yuan 	員	c=6 d=4.38608e-11 t=116978
yuan 	園	c=9 d=0.000116943 t=116978
yuan 	圓	c=1 d=2.9137e-52 t=116978
yuan 	源	c=11 d=0.527292 t=116978
yuan 	猿	c=1 d=1.45882e-119 t=116978
yuan 	苑	c=1 d=2.0451e-64 t=116978
yuan 	遠	c=15 d=0.0636179 t=116978
yuan 	院	c=39 d=0.00183656 t=116978
yuan ban 	原版	c=4 d=1.44507 t=116978
yuan ben 	原本	c=15 d=3.58175e-10 t=116978
yuan cheng 	遠程	c=11 d=4.19237e-09 t=116978
yuan cheng ban gong 	远程办公	c=2 d=4.70796e-50 t=116978
yuan cheng shi xi 	遠程實習	c=2 d=5.13003e-25 t=116978
yuan chuang xing 	原創性	c=2 d=8.68839e-82 t=116978
yuan dai ma 	源代碼	c=1 d=5.5556e-174 t=116978
yuan dan 	元旦	c=2 d=5.04023e-50 t=116978
yuan dan 	原單	c=5 d=0.00190363 t=116978
yuan di 	原地	c=1 d=5.95717e-54 t=116978
yuan duan 	遠端	c=1 d=2.10595e-56 t=116978
yuan fei 	遠非	c=1 d=1.29034e-87 t=116978
yuan fen 	緣分	c=2 d=1.13647e-05 t=116978
yuan gong 	員工	c=13 d=3.34156e-09 t=116978
yuan jia 	原價	c=5 d=0.000391103 t=116978
yuan jin 	遠近	c=1 d=6.72126e-62 t=116978
yuan lai 	原來	c=19 d=0.124307 t=116978
yuan lai ru ci 	原來如此	c=2 d=4.63269e-125 t=116978
yuan lang 	元朗	c=1 d=9.1814e-55 t=116978
yuan li 	原理	c=6 d=1.45783e-15 t=116978
yuan ma 	源碼	c=9 d=6.85982e-08 t=116978
yuan ming 	原名	c=1 d=4.84953e-75 t=116978
yuan ming yuan 	圓明園	c=3 d=4.34212e-81 t=116978
yuan qi 	元氣	c=1 d=3.75746e-44 t=116978
yuan qi jian 	元器件	c=1 d=2.27686e-121 t=116978
yuan qiu 	圓球	c=3 d=8.42505e-164 t=116978
yuan qu 	園區	c=3 d=6.83631e-54 t=116978
yuan shi 	原始	c=18 d=1.08104e-05 t=116978
yuan shi 	院士	c=2 d=2.79175e-49 t=116978
yuan shi ji lei 	原始積累	c=1 d=1.05503e-42 t=116978
yuan shu 	袁術	c=1 d=8.81125e-159 t=116978
yuan su 	元素	c=4 d=2.72384e-24 t=116978
yuan tu 	原圖	c=3 d=4.94698e-15 t=116978
yuan wang 	願望	c=1 d=6.38021e-67 t=116978
yuan wen 	原文	c=2 d=2.63419e-42 t=116978
yuan wen jian 	源文件	c=2 d=8.02493e-30 t=116978
yuan xi 	院系	c=1 d=0.778801 t=116978
yuan xiao 	元宵	c=4 d=1.20101 t=116978
yuan xiao 	院校	c=2 d=3.01655e-93 t=116978
yuan xiao jie 	元宵節	c=1 d=6.54549e-15 t=116978
yuan xing 	原型	c=29 d=4.10865e-07 t=116978
yuan xing 	圓形	c=2 d=1.28132e-34 t=116978
yuan yang 	原樣	c=1 d=2.56958e-44 t=116978
yuan yang hu die pai 	鴛鴦蝴蝶派	c=1 d=0.071719 t=116978
yuan yi 	願意	c=5 d=1.56506e-05 t=116978
yuan yin 	原因	c=25 d=0.00269169 t=116978
yuan you 	原有	c=15 d=0.00218388 t=116978
yuan you mo xing 	原有模型	c=1 d=2.11767e-180 t=116978
yuan yu 	源於	c=1 d=8.60478e-86 t=116978
yuan yuan 	淵源	c=1 d=5.86991e-145 t=116978
yuan yuan 	遠遠	c=1 d=1.63616e-57 t=116978
yuan yuan bu duan 	源源不斷	c=1 d=1.71655e-180 t=116978
yuan ze 	原則	c=1 d=7.53808e-29 t=116978
yuan ze shang 	原則上	c=2 d=2.23454e-38 t=116978
yue 	岳	c=3 d=0.000240341 t=116978
yue 	悅	c=3 d=1.09994e-60 t=116978
yue 	月	c=142 d=1.24379 t=116978
yue 	約	c=23 d=1.59749e-11 t=116978
yue 	越	c=28 d=0.0309061 t=116978
yue 	躍	c=10 d=7.15435e-05 t=116978
yue bao 	月報	c=1 d=9.09683e-05 t=116978
yue bing 	月餅	c=10 d=2.61743e-16 t=116978
yue bing dao le 	月餅到了	c=1 d=2.6884e-17 t=116978
yue chang 	越長	c=1 d=1.06415e-55 t=116978
yue chu lai 	約出來	c=1 d=1.84922e-56 t=116978
yue da 	越大	c=3 d=2.09473e-52 t=116978
yue dao 	約到	c=2 d=1.36427e-66 t=116978
yue deng yu 	約等於	c=4 d=0.0169922 t=116978
yue di 	月底	c=4 d=1.36924e-50 t=116978
yue di 	越低	c=1 d=1.19983e-55 t=116978
yue ding 	約定	c=1 d=9.728e-147 t=116978
yue du 	閱讀	c=9 d=0.164671 t=116978
yue dui 	樂隊	c=0 d=4.99993e-53 t=116978
yue dui de 	樂隊的	c=1 d=5.025e-52 t=116978
yue duo 	越多	c=5 d=0.0930145 t=116978
yue fa san zhang 	約法三章	c=1 d=4.65938e-75 t=116978
yue fen 	月份	c=10 d=2.35539e-78 t=116978
yue fen er 	月份兒	c=1 d=7.29275e-169 t=116978
yue gao 	越高	c=2 d=0.0958472 t=116978
yue guo 	越過	c=1 d=4.91294e-22 t=116978
yue hai 	粵海	c=3 d=4.95061e-75 t=116978
yue hai jie dao 	粤海街道	c=2 d=1.15226e-76 t=116978
yue hao 	越好	c=4 d=2.3909e-49 t=116978
yue jie 	月結	c=1 d=7.33822e-07 t=116978
yue ka 	月卡	c=1 d=6.63946e-65 t=116978
yue kang ma 	粵康碼	c=1 d=3.19115e-122 t=116978
yue kuai 	越快	c=2 d=1.14131e-55 t=116978
yue lai 	越來	c=2 d=2.18103e-27 t=116978
yue lai yue 	越來越	c=1 d=4.57831e-45 t=116978
yue lan 	閱覽	c=2 d=3.58541e-22 t=116978
yue qiu 	月球	c=1 d=1.22034e-166 t=116978
yue shao 	越少	c=1 d=8.0094e-66 t=116978
yue shu 	約束	c=38 d=4.05865e-10 t=116978
yue xiang 	越想	c=1 d=2.13037e-74 t=116978
yue xiao 	越小	c=1 d=4.22963e-113 t=116978
yue xin 	岳昕	c=1 d=8.43583e-88 t=116978
yue xin 	月薪	c=3 d=1.23469e-39 t=116978
yue xiu 	越秀	c=1 d=4.30641e-60 t=116978
yue xun lian 	越訓練	c=1 d=1.33312e-59 t=116978
yue yu 	粵語	c=1 d=3.70783e-64 t=116978
yun 	暈	c=3 d=1.32039e-05 t=116978
yun 	雲	c=41 d=0.383387 t=116978
yun 	韻	c=6 d=7.39782e-06 t=116978
yun cheng 	雲城	c=1 d=1.51123e-05 t=116978
yun dang hu 	篔簹湖	c=1 d=3.41937e-23 t=116978
yun dong 	運動	c=5 d=3.50213e-69 t=116978
yun dong 	韻動	c=7 d=0.000108444 t=116978
yun dong fang mian 	運動方面	c=1 d=2.11817e-124 t=116978
yun dong jia yuan 	韻動家園	c=12 d=4.19522e-17 t=116978
yun duan 	雲端	c=1 d=8.14925e-05 t=116978
yun duan ying pan 	雲端硬盤	c=1 d=7.60995e-23 t=116978
yun fei 	運費	c=2 d=9.87493e-51 t=116978
yun han 	蘊含	c=1 d=5.09454e-96 t=116978
yun he 	運河	c=5 d=1.88607e-162 t=116978
yun li 	運力	c=1 d=3.01175e-59 t=116978
yun li 	雲裏	c=1 d=2.72801e-42 t=116978
yun lv you 	雲旅遊	c=1 d=1.32426e-10 t=116978
yun nan 	雲南	c=7 d=4.00888e-75 t=116978
yun pan 	雲盤	c=1 d=2.18259e-06 t=116978
yun qi 	運氣	c=8 d=0.00142298 t=116978
yun qi hao 	運氣好	c=1 d=2.27623e-59 t=116978
yun suan 	運算	c=4 d=1.60807e-29 t=116978
yun ti 	雲梯	c=1 d=1.0941e-58 t=116978
yun tu 	雲圖	c=3 d=1.36148e-27 t=116978
yun xing 	運行	c=21 d=0.99337 t=116978
yun xu 	允許	c=6 d=0.00465413 t=116978
yun yong 	運用	c=5 d=8.34149e-132 t=116978
yun zhuan 	運轉	c=3 d=1.2244e-50 t=116978
za 	咋	c=36 d=0.0275994 t=116978
za ban 	咋辦	c=7 d=8.16035e-21 t=116978
za di 	咋地	c=1 d=2.27708e-34 t=116978
za gong 	雜工	c=1 d=4.00332e-16 t=116978
za hui shi 	咋回事	c=2 d=2.51956e-48 t=116978
za la 	咋啦	c=7 d=1.74755e-14 t=116978
za le 	咋了	c=7 d=9.45349e-18 t=116978
za le 	砸了	c=5 d=3.3471e-07 t=116978
za nong 	咋弄	c=1 d=3.17825e-45 t=116978
za qi za ba 	雜七雜八	c=1 d=5.1874e-132 t=116978
za shuo 	咋說	c=2 d=6.78369e-18 t=116978
za yang 	咋樣	c=5 d=1.0736e-12 t=116978
za yin 	雜音	c=2 d=1.30756 t=116978
za zhi dao 	咋知道	c=1 d=1.29385e-119 t=116978
za zou 	咋走	c=1 d=2.17734e-154 t=116978
zai 	仔	c=1 d=6.75632e-35 t=116978
zai 	再	c=296 d=0.513197 t=116978
zai 	在	c=874 d=2.02526 t=116978
zai ben wen 	在本文	c=1 d=3.46658e-96 t=116978
zai bu qu 	再不去	c=1 d=9.82274e-114 t=116978
zai bu zai 	在不在	c=1 d=1.7983e-51 t=116978
zai ci 	再次	c=15 d=7.34902e-17 t=116978
zai dao 	再到	c=2 d=2.82305e-87 t=116978
zai dui 	在對	c=1 d=6.34022e-140 t=116978
zai gai 	再改	c=1 d=1.82771e-36 t=116978
zai gan ma 	在幹嘛	c=9 d=7.35177e-21 t=116978
zai guo 	再過	c=1 d=2.53375e-114 t=116978
zai guo qu 	再過去	c=1 d=1.48197e-69 t=116978
zai jia 	在家	c=7 d=0.0109436 t=116978
zai jian 	再見	c=2 d=0.0106803 t=116978
zai jie 	再接	c=1 d=1.57704e-124 t=116978
zai kan 	再看	c=1 d=9.28345e-38 t=116978
zai lai 	再來	c=1 d=7.26302e-121 t=116978
zai ma 	在嗎	c=66 d=0.0173773 t=116978
zai mai 	再買	c=2 d=0.00136037 t=116978
zai na 	在哪	c=2 d=0.000269215 t=116978
zai na er 	在哪兒	c=11 d=6.30998e-16 t=116978
zai na li 	在哪裏	c=7 d=5.82947e-05 t=116978
zai ni 	在你	c=1 d=7.80924e-33 t=116978
zai pei 	栽培	c=4 d=1.74177e-87 t=116978
zai qu 	再去	c=2 d=3.95995e-75 t=116978
zai ru 	載入	c=2 d=1.60494e-25 t=116978
zai shang ban 	在上班	c=1 d=5.04352e-154 t=116978
zai shang mian 	在上面	c=1 d=3.95309e-141 t=116978
zai shuo 	再說	c=10 d=0.941765 t=116978
zai shuo ba 	再說吧	c=1 d=2.02042e-127 t=116978
zai shuo xia qu 	再說下去	c=1 d=1.27863e-68 t=116978
zai wo men 	在我們	c=1 d=2.75939e-147 t=116978
zai wo xin li 	在我心裏	c=1 d=2.91987e-165 t=116978
zai xian 	在線	c=23 d=3.2627e-18 t=116978
zai xian de 	在線的	c=1 d=4.65002e-22 t=116978
zai xian xue xi 	在線學習	c=2 d=1.16188e-118 t=116978
zai xiao 	在校	c=1 d=1.95417e-29 t=116978
zai ye 	再也	c=2 d=7.16145e-73 t=116978
zai yi qi 	在一起	c=1 d=5.76562e-140 t=116978
zai yong 	再用	c=1 d=4.46208e-66 t=116978
zai yu 	在於	c=3 d=2.42332e-31 t=116978
zai zen me 	再怎麼	c=1 d=6.39522e-124 t=116978
zai zhe li 	在這裏	c=5 d=3.6302e-21 t=116978
zai zhe qi jian 	在這期間	c=1 d=1.4778e-124 t=116978
zai zhi 	在職	c=10 d=3.03641e-68 t=116978
zai zhi zheng ming 	在職證明	c=2 d=4.12898e-65 t=116978
zan 	咱	c=2 d=3.58529e-51 t=116978
zan 	暫	c=1 d=1.52497e-82 t=116978
zan ding 	暫定	c=1 d=2.26295e-49 t=116978
zan huan 	暫緩	c=3 d=1.94842e-76 t=116978
zan lia 	咱倆	c=1 d=1.14536e-126 t=116978
zan men 	咱們	c=22 d=0.00621991 t=116978
zan men lia 	咱們倆	c=1 d=7.11868e-32 t=116978
zan qian 	攢錢	c=1 d=6.63226e-111 t=116978
